Image,SSIM (Blurry),SSIM (Student)
0175_768_0.jpg,0.6793,0.6703
0175_768_1024.jpg,0.6493,0.6399
0175_768_1280.jpg,0.8172,0.81
0175_768_1536.jpg,0.8683,0.8615
0175_768_256.jpg,0.6398,0.632
0175_768_512.jpg,0.707,0.6963
0175_768_768.jpg,0.652,0.6443
0193_0_0.jpg,0.9927,0.9868
0193_0_1024.jpg,0.9926,0.9871
0193_0_1280.jpg,0.958,0.954
0193_0_1536.jpg,0.9782,0.9749
0193_0_256.jpg,0.9928,0.9885
0193_0_512.jpg,0.9944,0.9913
0193_0_768.jpg,0.9935,0.9903
0193_1024_0.jpg,0.8441,0.8369
0193_1024_1024.jpg,0.8262,0.8218
0193_1024_1280.jpg,0.8574,0.852
0193_1024_1536.jpg,0.836,0.8303
0193_1024_256.jpg,0.7976,0.7943
0193_1024_512.jpg,0.8248,0.8188
0193_1024_768.jpg,0.8113,0.8075
0193_256_0.jpg,0.9742,0.9705
0193_256_1024.jpg,0.968,0.9627
0193_256_1280.jpg,0.8346,0.8276
0193_256_1536.jpg,0.9642,0.9621
0193_256_256.jpg,0.9718,0.9658
0193_256_512.jpg,0.9921,0.9858
0193_256_768.jpg,0.9055,0.9026
0193_512_0.jpg,0.9416,0.9361
0193_512_1024.jpg,0.8473,0.8434
0193_512_1280.jpg,0.9963,0.9924
0193_512_1536.jpg,0.9962,0.9924
0193_512_256.jpg,0.9366,0.932
0193_512_512.jpg,0.9933,0.9879
0193_512_768.jpg,0.9387,0.9359
0193_768_0.jpg,0.8807,0.8766
0193_768_1024.jpg,0.8686,0.8648
0193_768_1280.jpg,0.8772,0.8721
0193_768_1536.jpg,0.8617,0.8564
0193_768_256.jpg,0.869,0.8643
0193_768_512.jpg,0.8784,0.8735
0193_768_768.jpg,0.7951,0.7899
0199_0_0.jpg,0.86,0.8175
0199_0_1024.jpg,0.8785,0.7936
0199_0_1280.jpg,0.864,0.8231
0199_0_1536.jpg,0.8556,0.8241
0199_0_256.jpg,0.9077,0.8954
0199_0_512.jpg,0.9372,0.9223
0199_0_768.jpg,0.8964,0.8139
0199_1024_0.jpg,0.8249,0.8142
0199_1024_1024.jpg,0.6943,0.6884
0199_1024_1280.jpg,0.9398,0.9357
0199_1024_1536.jpg,0.81,0.7983
0199_1024_256.jpg,0.7344,0.7277
0199_1024_512.jpg,0.6421,0.6255
0199_1024_768.jpg,0.6593,0.6457
0199_1280_0.jpg,0.7545,0.7416
0199_1280_1024.jpg,0.8447,0.8365
0199_1280_1280.jpg,0.9513,0.9436
0199_1280_1536.jpg,0.8225,0.8083
0199_1280_256.jpg,0.7105,0.7045
0199_1280_512.jpg,0.7483,0.7406
0199_1280_768.jpg,0.8537,0.8444
0199_256_0.jpg,0.9055,0.8922
0199_256_1024.jpg,0.9388,0.9115
0199_256_1280.jpg,0.9033,0.895
0199_256_1536.jpg,0.8782,0.8691
0199_256_256.jpg,0.8808,0.8673
0199_256_512.jpg,0.9024,0.8915
0199_256_768.jpg,0.9156,0.9048
0199_512_0.jpg,0.8355,0.8295
0199_512_1024.jpg,0.8912,0.8808
0199_512_1280.jpg,0.9096,0.9037
0199_512_1536.jpg,0.8836,0.8732
0199_512_256.jpg,0.9063,0.9009
0199_512_512.jpg,0.9022,0.8905
0199_512_768.jpg,0.9148,0.9075
0199_768_0.jpg,0.7832,0.7745
0199_768_1024.jpg,0.8334,0.8256
0199_768_1280.jpg,0.908,0.9007
0199_768_1536.jpg,0.832,0.8198
0199_768_256.jpg,0.8771,0.8724
0199_768_512.jpg,0.8286,0.8217
0199_768_768.jpg,0.8515,0.8417
0200_0_0.jpg,0.9526,0.946
0200_0_1024.jpg,0.9759,0.9661
0200_0_1280.jpg,0.9753,0.9655
0200_0_1536.jpg,0.9709,0.9602
0200_0_256.jpg,0.9659,0.9547
0200_0_512.jpg,0.9746,0.9649
0200_0_768.jpg,0.9788,0.968
0200_1024_0.jpg,0.9587,0.9509
0200_1024_1024.jpg,0.9693,0.9599
0200_1024_1280.jpg,0.9835,0.9774
0200_1024_1536.jpg,0.9696,0.9598
0200_1024_256.jpg,0.9759,0.9718
0200_1024_512.jpg,0.9651,0.9583
0200_1024_768.jpg,0.9817,0.9775
0200_256_0.jpg,0.8944,0.8851
0200_256_1024.jpg,0.9703,0.9601
0200_256_1280.jpg,0.9692,0.9619
